Pays,TIME_PERIOD,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,Total des abonnements au téléphone cellulaire mobile,Total des lignes d'accès téléphoniques,Total des recettes des télécommunications USD,Total des voies d'accès de communication
Allemagne,2005,40200000.0,7250000000.0,79200000.0,38995000.0,84125000000.0,128901600.0
Allemagne,2006,39947000.0,8125000000.0,85652000.0,38248000.0,82875000000.0,138882600.0
Allemagne,2007,53433050.0,9726027397.0,97151000.0,36867000.0,87534246575.0,153549000.0
Allemagne,2008,60680000.0,10588235294.0,107245000.0,34230000.0,91617647059.0,164007000.0
Allemagne,2009,60483000.0,8472222222.0,108255000.0,32266000.0,83888888889.0,165498400.0
Allemagne,2010,60249000.0,7866666667.0,108846000.0,30403000.0,78933333333.0,165410950.0
Allemagne,2011,63786000.0,8750000000.0,114125000.0,28290000.0,80277777778.0,169642096.0
Allemagne,2012,60256490.0,8205128205.0,113158000.0,26280000.0,74358974359.0,167368396.0
Allemagne,2013,59412000.0,8800000000.0,115225000.0,23440000.0,76000000000.0,167288961.0
Allemagne,2014,55707000.0,10133333333.0,112629000.0,19850000.0,75733333333.0,162051818.0
Allemagne,2015,54491000.0,8888888889.0,113825000.0,16190000.0,63777777778.0,160722429.0
Allemagne,2016,54349000.0,9222222222.0,129870000.0,13010000.0,63222222222.0,174747148.0
Allemagne,2017,54720000.0,9550561798.0,135043000.0,9030000.0,63707865169.0,177305299.0
Allemagne,2018,52954380.0,10705882353.0,136958000.0,4580000.0,67764705882.0,175690033.0
Australie,2005,8504000.0,2859406870.0,18420000.0,10120000.0,26613740458.0,31325000.0
Australie,2006,9700000.0,3671924812.0,19760000.0,9940000.0,,33516172.0
Australie,2007,10150000.0,4074816667.0,21260000.0,9760000.0,30833333333.0,35850200.0
Australie,2008,9990000.0,3630343697.0,22120000.0,9360000.0,30805042017.0,36816000.0
Australie,2009,10580000.0,3057453906.0,24220000.0,9020000.0,29243750000.0,38458000.0
Australie,2010,10970000.0,3527491743.0,22540000.0,8660000.0,37210091743.0,36717000.0
Australie,2011,11435000.0,4567829897.0,24415000.0,10490000.0,43508247423.0,40538000.0
Australie,2012,11810000.0,5410153608.0,24640000.0,9930000.0,43289690722.0,40454000.0
Australie,2013,11845000.0,6195222115.0,25000000.0,9305000.0,39787019231.0,40456000.0
Australie,2014,11485000.0,6369533333.0,25415000.0,8845000.0,37022972973.0,40796000.0
Australie,2015,9255000.0,6048337594.0,26160000.0,8490000.0,31518421053.0,41413000.0
Australie,2016,9300000.0,7297185926.0,27005000.0,8470000.0,32071481481.0,42849000.0
Australie,2017,9320000.0,8924073077.0,27870000.0,8275000.0,34269230769.0,44067000.0
Australie,2018,,7767878358.0,,,,
Autriche,2005,3774105.0,948750000.0,8369251.0,3005011.0,7731356140.0,12555954.0
Autriche,2006,3880328.0,937038353.0,9254265.0,2876859.0,7556871945.0,13514922.0
Autriche,2007,3695274.0,1202739726.0,9855352.0,2742278.0,7830136986.0,14195621.0
Autriche,2008,3552199.0,748844614.0,10605967.0,2679623.0,7890430321.0,15054531.0
Autriche,2009,3641692.0,700974160.0,11434330.0,2662180.0,7058393786.0,15889867.0
Autriche,2010,3896666.0,929064827.0,12241085.0,2778004.0,6336320681.0,16957812.0
Autriche,2011,4167626.0,711249917.0,13022578.0,2769374.0,6286337831.0,17843452.0
Autriche,2012,4243025.0,714064523.0,13588363.0,2700577.0,5707720823.0,18413878.0
Autriche,2013,4061464.0,685333333.0,13272022.0,2637964.0,5546569014.0,18140178.0
Autriche,2014,3886237.0,735200000.0,12952605.0,2538207.0,5247704267.0,17845017.0
Autriche,2015,4514876.0,735000000.0,13470623.0,2505857.0,4374129111.0,18432380.0
Autriche,2016,5192019.0,667178457.0,14263780.0,2503704.0,4566473676.0,19290684.0
Autriche,2017,5648791.0,711858176.0,14936336.0,2449244.0,4675671761.0,19896680.0
Autriche,2018,7228749.0,795632293.0,16530441.0,2410632.0,4778331993.0,21462452.0
Belgique,2005,6042295.0,1328115000.0,9604695.0,4107775.0,11413135132.0,15615209.0
Belgique,2006,5942162.0,1266389538.0,9847375.0,4045012.0,10249132698.0,16247990.0
Belgique,2007,6146996.0,1360044554.0,10738121.0,3988485.0,11056698138.0,17442399.0
Belgique,2008,6653649.0,1584211751.0,11822190.0,3797389.0,11636902315.0,18582029.0
Belgique,2009,6739177.0,1502827740.0,11598724.0,3764717.0,10902752171.0,18497322.0
Belgique,2010,6709887.0,1494581333.0,12237680.0,3777490.0,10541170598.0,19388313.0
Belgique,2011,6045206.0,1761194444.0,12495934.0,3787984.0,10753957503.0,19827677.0
Belgique,2012,5412083.0,1607969231.0,12313375.0,3837154.0,9685140362.0,19842538.0
Belgique,2013,4984796.77064239,2494716000.0,12314015.0,3838956.0,9730227813.0,19981889.0
Belgique,2014,5037310.0,1967298057.0,12734724.0,3838387.0,9385408479.0,20584312.0
Belgique,2015,4746857.0,1553473637.0,12774090.0,3822453.0,7978604112.0,20717592.0
Belgique,2016,4209724.0,1752035668.0,12550821.0,3755436.0,8049617313.0,20576566.0
Belgique,2017,3063726.0,1884564637.0,11961089.0,3629965.0,8114711785.0,19970027.0
Belgique,2018,2848620.0,2040780941.0,11916735.0,3359583.0,8547517657.0,19779268.0
Canada,2005,3820396.0,4572727273.0,17016600.0,19124000.0,28515702479.0,44689151.0
Canada,2006,4203012.0,6099115044.0,18749100.0,19218000.0,31916814159.0,47334186.0
Canada,2007,4462772.0,7632710280.0,20277400.0,19257000.0,35541121495.0,49522230.0
Canada,2008,4817000.0,11214953271.0,22092500.0,19264000.0,37639065421.0,51344330.0
Canada,2009,5028000.0,7017543860.0,23811900.0,18708000.0,35980438596.0,52809900.0
Canada,2010,5416058.0,8155339806.0,25825400.0,18394000.0,40440776699.0,55036503.0
Canada,2011,5805926.0,9351515152.0,26844273.0,18201000.0,43143939394.0,56322753.0
Canada,2012,5278825.0,9672000000.0,27720609.0,17732566.0,43942000000.0,57137038.0
Canada,2013,4698557.0,8641892850.0,28363793.0,16920647.0,43516504854.0,57372933.0
