Pays,TIME_PERIOD,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire),Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,Nombre d’abonnés à la télévision par câble,Total Internet Protocol (IP) telephone subscriptions,Total des abonnements au téléphone cellulaire mobile,Total des abonnements au téléphone cellulaire mobile pour 100 habitants,Total des lignes d'accès téléphoniques,Total des recettes des télécommunications,Total des recettes des télécommunications USD,Total des voies d'accès de communication,Total des voies d'accès de communication pour 100 habitants
Allemagne,1996,,10884381567.0,,,,5782200.0,7.06,40963900.0,32262517703.0,,46746100.0,57.07
Allemagne,1997,,10587832276.0,,18020000.0,,8175500.0,9.97,40687200.0,38652447168.0,,48862700.0,59.56
Allemagne,1998,2087000.0,7200000000.0,,18650000.0,,13913000.0,16.96,40436720.0,44200000000.0,,54349720.0,66.24
Allemagne,1999,5533000.0,7800000000.0,,20400000.0,,23446000.0,28.56,40110300.0,48100000000.0,,63556300.0,77.41
Allemagne,2000,26318000.0,9900000000.0,9166666667.0,20380000.0,,48202000.0,58.63,39665700.0,56200000000.0,52037037037.0,87867700.0,106.88
Allemagne,2001,31374000.0,11500000000.0,10267857143.0,20300000.0,,56126000.0,68.16,39696100.0,60500000000.0,54017857143.0,95822100.0,116.36
Allemagne,2002,31338000.0,7100000000.0,6698113208.0,21000000.0,,59128000.0,71.68,39650000.0,62000000000.0,58490566038.0,102032000.0,123.69
Allemagne,2003,33307000.0,5500000000.0,6250000000.0,21000000.0,,64800000.0,78.51,39380000.0,63900000000.0,72613636364.0,108791286.0,131.81
Allemagne,2004,31374000.0,5700000000.0,7125000000.0,19350000.0,,74316000.0,90.06,39081000.0,66800000000.0,83500000000.0,120301983.0,145.79
Allemagne,2005,40200000.0,5800000000.0,7250000000.0,18850000.0,,79200000.0,96.04,38995000.0,67300000000.0,84125000000.0,128901600.0,156.3
Allemagne,2006,39947000.0,6500000000.0,8125000000.0,18500000.0,,85652000.0,103.98,38248000.0,66300000000.0,82875000000.0,138882600.0,168.6
Allemagne,2007,53433050.0,7100000000.0,9726027397.0,17900000.0,,97151000.0,118.09,36867000.0,63900000000.0,87534246575.0,153549000.0,186.65
Allemagne,2008,60680000.0,7200000000.0,10588235294.0,18500000.0,,107245000.0,130.61,34230000.0,62300000000.0,91617647059.0,164007000.0,199.74
Allemagne,2009,60483000.0,6100000000.0,8472222222.0,18600000.0,,108255000.0,132.18,32266000.0,60400000000.0,83888888889.0,165498400.0,202.07
Allemagne,2010,60249000.0,5900000000.0,7866666667.0,18200000.0,,108846000.0,133.1,30403000.0,59200000000.0,78933333333.0,165410950.0,202.27
Allemagne,2011,63786000.0,6300000000.0,8750000000.0,17300000.0,9540000.0,114125000.0,142.17,28290000.0,57800000000.0,80277777778.0,169642096.0,211.33
Allemagne,2012,60256490.0,6400000000.0,8205128205.0,16700000.0,11150000.0,113158000.0,140.7,26280000.0,58000000000.0,74358974359.0,167368396.0,208.1
Allemagne,2013,59412000.0,6600000000.0,8800000000.0,16900000.0,13630000.0,115225000.0,142.88,23440000.0,57000000000.0,76000000000.0,167288961.0,207.44
Allemagne,2014,55707000.0,7600000000.0,10133333333.0,16900000.0,17150000.0,112629000.0,139.08,19850000.0,56800000000.0,75733333333.0,162051818.0,200.11
Allemagne,2015,54491000.0,8000000000.0,8888888889.0,16500000.0,20850000.0,113825000.0,139.34,16190000.0,57400000000.0,63777777778.0,160722429.0,196.75
Allemagne,2016,54349000.0,8300000000.0,9222222222.0,16600000.0,25140000.0,129870000.0,157.71,13010000.0,56900000000.0,63222222222.0,174747148.0,212.2
Allemagne,2017,54720000.0,8500000000.0,9550561798.0,16400000.0,29580000.0,135043000.0,163.38,9030000.0,56700000000.0,63707865169.0,177305299.0,214.51
Allemagne,2018,52954380.0,9100000000.0,10705882353.0,16180000.0,33860000.0,136958000.0,165.18,4580000.0,57600000000.0,67764705882.0,175690033.0,211.89
Australie,1996,,2777955000.0,,,,3990000.0,21.89,9439525.0,,,13429525.0,73.69
Australie,1997,,2542717000.0,,,,4578000.0,24.85,9710350.0,,,14288350.0,77.56
Australie,1998,,3039707000.0,,,,5342000.0,28.71,10001000.0,,,15343000.0,82.46
Australie,1999,409000.0,3458144000.0,,,,6340000.0,33.7,10211000.0,25397000000.0,,16551000.0,87.98
Australie,2000,1350000.0,4008244000.0,2330374419.0,,,8010000.0,42.09,10440000.0,0.0,,18450000.0,96.96
Australie,2001,3300000.0,3628692000.0,1880151295.0,,,11100000.0,57.59,10511000.0,29827000000.0,15454404145.0,21611000.0,112.12
Australie,2002,4120000.0,3324307000.0,1806688587.0,,,12670000.0,64.99,10400000.0,0.0,,23433500.0,120.2
Australie,2003,5400000.0,3017312000.0,1959293506.0,71.0,,14300000.0,72.51,10460000.0,29862000000.0,19390909091.0,25458700.0,129.1
Australie,2004,7080000.0,3259393000.0,2396612500.0,81.0,,16476000.0,82.66,10370000.0,0.0,,28394300.0,142.45
Australie,2005,8504000.0,3745823000.0,2859406870.0,81.0,,18420000.0,91.29,10120000.0,34864000000.0,26613740458.0,31325000.0,155.25
Australie,2006,9700000.0,4883660000.0,3671924812.0,88.0,,19760000.0,96.62,9940000.0,0.0,,33516172.0,163.89
Australie,2007,10150000.0,4889780000.0,4074816667.0,91.0,,21260000.0,102.08,9760000.0,37000000000.0,30833333333.0,35850200.0,172.13
Australie,2008,9990000.0,4320109000.0,3630343697.0,91.0,,22120000.0,104.1,9360000.0,36658000000.0,30805042017.0,36816000.0,173.26
Australie,2009,10580000.0,3913541000.0,3057453906.0,92.0,,24220000.0,111.66,9020000.0,37432000000.0,29243750000.0,38458000.0,177.29
Australie,2010,10970000.0,3844966000.0,3527491743.0,,,22540000.0,102.31,8660000.0,40559000000.0,37210091743.0,36717000.0,166.65
Australie,2011,11435000.0,4430795000.0,4567829897.0,,,24415000.0,109.29,10490000.0,42203000000.0,43508247423.0,40538000.0,181.46
Australie,2012,11810000.0,5247849000.0,5410153608.0,,,24640000.0,108.39,9930000.0,41991000000.0,43289690722.0,40454000.0,177.95
Australie,2013,11845000.0,6443031000.0,6195222115.0,,,25000000.0,108.09,9305000.0,41378500000.0,39787019231.0,40456000.0,174.92
Australie,2014,11485000.0,7070182000.0,6369533333.0,,,25415000.0,108.26,8845000.0,41095500000.0,37022972973.0,40796000.0,173.78
Australie,2015,9255000.0,8044289000.0,6048337594.0,,,26160000.0,109.84,8490000.0,41919500000.0,31518421053.0,41413000.0,173.89
Australie,2016,9300000.0,9851201000.0,7297185926.0,,,27005000.0,111.63,8470000.0,43296500000.0,32071481481.0,42849000.0,177.13
Australie,2017,9320000.0,11601295000.0,8924073077.0,,,27870000.0,113.28,8275000.0,44550000000.0,34269230769.0,44067000.0,179.12
Australie,2018,,10408957000.0,7767878358.0,,,,,,,,,
Autriche,1996,,583354575.0,,,,598804.0,7.52,3698447.0,3087821795.0,,4297251.0,53.99
Autriche,1997,,886608577.0,,,,1164270.0,14.61,3567353.0,3311968773.0,,4731623.0,59.38
Autriche,1998,,1495967384.0,,1219420.0,,2300000.0,28.83,3455300.0,3706314543.0,,5755300.0,72.15
Autriche,1999,2044168.0,1881825978.0,,,,4300000.0,53.8,3454800.0,4691465688.9748,,7754800.0,97.03
Autriche,2000,3184653.0,2854821479.0,2643353221.0,1248000.0,,6117243.0,76.36,3374000.0,4821188491.52998,4464063418.0,9491243.0,118.47
Autriche,2001,3330559.0,1814562981.91173,1620145520.0,,,6541386.0,81.34,3307000.0,5648600000.0,5043392857.0,9848386.0,122.46
Autriche,2002,3259436.0,958950000.0,904669811.0,1313000.0,,6736368.0,83.35,3187100.0,5625000000.0,5306603774.0,10374968.0,128.37
Autriche,2003,3338473.0,365978616.82,415884792.0,1311000.0,,7094502.0,87.39,3144136.0,5929000000.0,6737500000.0,10857138.0,133.74
Autriche,2004,3528912.0,352814086.85,441017609.0,,,7991170.0,97.82,3068976.0,6082000000.0,7602500000.0,11927464.0,146.0
Autriche,2005,3774105.0,759000000.0,948750000.0,1315000.0,,8369251.0,101.75,3005011.0,6185084912.37449,7731356140.0,12555954.0,152.65
Autriche,2006,3880328.0,749630682.0,937038353.0,1332000.0,,9254265.0,111.93,2876859.0,6045497556.0,7556871945.0,13514922.0,163.46
Autriche,2007,3695274.0,878000000.0,1202739726.0,1373500.0,,9855352.0,118.81,2742278.0,5716000000.0,7830136986.0,14195621.0,171.13
Autriche,2008,3552199.0,509214337.666667,748844614.0,1452000.0,,10605967.0,127.45,2679623.0,5365492618.5202,7890430321.0,15054531.0,180.91
Autriche,2009,3641692.0,504701395.5499,700974160.0,1485000.0,,11434330.0,137.08,2662180.0,5082043526.22398,7058393786.0,15889867.0,190.49
Autriche,2010,3896666.0,696798620.0,929064827.0,1161000.0,,12241085.0,146.41,2778004.0,4752240511.1,6336320681.0,16957812.0,202.82
Autriche,2011,4167626.0,512099940.0,711249917.0,,,13022578.0,155.24,2769374.0,4526163238.0,6286337831.0,17843452.0,212.71
Autriche,2012,4243025.0,556970327.621,714064523.0,,605099.0,13588363.0,161.26,2700577.0,4452022242.04114,5707720823.0,18413878.0,218.53
Autriche,2013,4061464.0,514000000.0,685333333.0,,617575.0,13272022.0,156.56,2637964.0,4159926760.32409,5546569014.0,18140178.0,213.99
Autriche,2014,3886237.0,551400000.0,735200000.0,,607007.0,12952605.0,151.6,2538207.0,3935778200.0,5247704267.0,17845017.0,208.86
Autriche,2015,4514876.0,661500000.0,735000000.0,,629627.0,13470623.0,156.1,2505857.0,3936716200.0,4374129111.0,18432380.0,213.6
Autriche,2016,5192019.0,600460611.15,667178457.0,1365300.0,752275.0,14263780.0,163.2,2503704.0,4109826308.61822,4566473676.0,19290684.0,220.72
Autriche,2017,5648791.0,633553776.790924,711858176.0,1328400.0,845679.0,14936336.0,169.83,2449244.0,4161347867.50812,4675671761.0,19896680.0,226.23
Autriche,2018,7228749.0,676287448.98,795632293.0,1489800.0,964911.0,16530441.0,187.04,2410632.0,4061582193.99076,4778331993.0,21462452.0,242.85
Belgique,1996,,845540024.0,,,,478172.0,4.71,4780148.0,3438208821.0,,5258320.0,51.77
Belgique,1997,,640185028.0,,,,974494.0,9.57,5037189.0,3763618438.0,,6011683.0,59.05
Belgique,1998,,602852263.0,,,,1756287.0,17.21,4733700.0,4589975647.0,,6489987.0,63.61
Belgique,1999,1275000.0,700772907.0,,,,3186602.0,31.16,4609261.0,5542583468.0,,7795863.0,76.23
Belgique,2000,3377400.0,1037834481.0,960957853.0,3751795.0,,5629000.0,54.91,4474929.0,7921409318.0,7334638257.0,10103929.0,98.56
Belgique,2001,4901138.0,1597723000.0,1426538393.0,3788650.0,,7690000.0,74.76,4314887.0,7938998527.5,7088391542.0,12004887.0,116.7
Belgique,2002,5330641.0,1275367000.0,1203176415.0,3814949.0,,8101778.0,78.41,4278971.0,7967224326.0,7516249364.0,13276420.0,128.49
Belgique,2003,5716309.0,1051267000.0,1194621591.0,3882236.0,,8605834.0,82.94,4225703.0,8479846185.1,9636188847.0,14044841.0,135.36
Belgique,2004,6036299.0,1002630000.0,1253287500.0,3917340.0,,9131705.0,87.63,4148455.0,8792318880.8267,10990398601.0,14899104.0,142.97
Belgique,2005,6042295.0,1062492000.0,1328115000.0,3999272.0,,9604695.0,91.66,4107775.0,9130508105.53613,11413135132.0,15615209.0,149.02
Belgique,2006,5942162.0,1013111630.71,1266389538.0,3635089.0,,9847375.0,93.36,4045012.0,8199306158.0,10249132698.0,16247990.0,154.04
Belgique,2007,6146996.0,992832524.66,1360044554.0,3052462.0,,10738121.0,101.06,3988485.0,8071389641.0,11056698138.0,17442399.0,164.15
Belgique,2008,6653649.0,1077263990.86,1584211751.0,3983270.0,,11822190.0,110.38,3797389.0,7913093574.06,11636902315.0,18582029.0,173.5
Belgique,2009,6739177.0,1082035973.0,1502827740.0,3582851.0,,11598724.0,107.43,3764717.0,7849981562.90684,10902752171.0,18497322.0,171.33
Belgique,2010,6709887.0,1120936000.0,1494581333.0,3450656.0,,12237680.0,112.32,3777490.0,7905877948.35238,10541170598.0,19388313.0,177.95
Belgique,2011,6045206.0,1268060000.0,1761194444.0,3240228.0,,12495934.0,113.67,3787984.0,7742849402.38072,10753957503.0,19827677.0,180.36
Belgique,2012,5412083.0,1254216000.0,1607969231.0,3198101.0,,12313375.0,111.25,3837154.0,7554409482.04488,9685140362.0,19842538.0,179.28
Belgique,2013,4984796.77064239,1871037000.0,2494716000.0,3145553.0,,12314015.0,110.69,3838956.0,7297670859.92922,9730227813.0,19981889.0,179.61
Belgique,2014,5037310.0,1475473542.73,1967298057.0,3074240.0,,12734724.0,113.91,3838387.0,7039056359.31996,9385408479.0,20584312.0,184.12
Belgique,2015,4746857.0,1398126273.4,1553473637.0,2967502.0,,12774090.0,113.66,3822453.0,7180743701.03454,7978604112.0,20717592.0,184.35
Belgique,2016,4209724.0,1576832101.08544,1752035668.0,2909047.0,,12550821.0,111.12,3755436.0,7244655581.39343,8049617313.0,20576566.0,182.17
Belgique,2017,3063726.0,1677262526.82046,1884564637.0,2912265.0,296705.0,11961089.0,105.39,3629965.0,7222093488.74883,8114711785.0,19970027.0,175.96
Belgique,2018,2848620.0,1734663799.813,2040780941.0,2890688.0,410816.0,11916735.0,104.5,3359583.0,7265390008.32297,8547517657.0,19779268.0,173.45
Canada,1996,,4125662000.0,,,,3420318.0,11.55,,18170484000.0,,3420318.0,11.55
Canada,1997,,5769834000.0,,7946953.0,,4194761.0,14.03,19609000.0,23570531220.0,,23803761.0,79.6
Canada,1998,340899.0,6448085000.0,,8020798.0,,5346026.0,17.73,19587000.0,28491465000.0,,24933026.0,82.68
Canada,1999,1132142.0,5817220000.0,,8018553.0,,6911038.0,22.73,20380000.0,28714978000.0,,27291038.0,89.77
Canada,2000,1878650.0,7364998000.0,4942951678.0,7983150.0,,8726636.0,28.44,20840000.0,30661227000.0,20578004698.0,29566636.0,96.35
Canada,2001,2736028.0,7964152000.0,5138162581.0,7847900.0,,10648824.0,34.33,21126000.0,32357576000.0,20875855484.0,31774824.0,102.43
Canada,2002,2936765.0,6521840000.0,4154038217.0,7625400.0,,11997000.0,38.26,19252000.0,33223052000.0,21161179618.0,38074030.0,121.41
Canada,2003,3145704.0,4581410000.0,3272435714.0,7589472.0,,13291000.0,42.0,19161000.0,31995000000.0,22853571429.0,39715166.0,125.51
Canada,2004,3329563.0,5171882000.0,3978370769.0,7613714.0,,15020000.0,47.02,19069000.0,33468000000.0,25744615385.0,41745714.0,130.7
Canada,2005,3820396.0,5533000000.0,4572727273.0,7623300.0,,17016600.0,52.77,19124000.0,34504000000.0,28515702479.0,44689151.0,138.6
Canada,2006,4203012.0,6892000000.0,6099115044.0,7782200.0,,18749100.0,57.56,19218000.0,36066000000.0,31916814159.0,47334186.0,145.33
Canada,2007,4462772.0,8167000000.0,7632710280.0,7953700.0,,20277400.0,61.65,19257000.0,38029000000.0,35541121495.0,49522230.0,150.57
Canada,2008,4817000.0,12000000000.0,11214953271.0,7834900.0,,22092500.0,66.45,19264000.0,40273800000.0,37639065421.0,51344330.0,154.43
Canada,2009,5028000.0,8000000000.0,7017543860.0,8127800.0,199167.0,23811900.0,70.81,18708000.0,41017700000.0,35980438596.0,52809900.0,157.04
Canada,2010,5416058.0,8400000000.0,8155339806.0,8244100.0,255286.0,25825400.0,75.95,18394000.0,41654000000.0,40440776699.0,55036503.0,161.85
Canada,2011,5805926.0,9258000000.0,9351515152.0,8519000.0,404400.0,26844273.0,78.17,18201000.0,42712500000.0,43143939394.0,56322753.0,164.02
Canada,2012,5278825.0,9672000000.0,9672000000.0,8704000.0,860757.0,27720609.0,79.85,17732566.0,43942000000.0,43942000000.0,57137038.0,164.59
Canada,2013,4698557.0,8901149636.0,8641892850.0,8749197.0,670000.0,28363793.0,80.85,16920647.0,44822000000.0,43516504854.0,57372933.0,163.54
Canada,2014,4171691.0,9317971575.0,8470883250.0,8736954.0,694000.0,28788935.0,81.24,16403000.0,45935876738.7521,41759887944.0,57761022.0,162.99
Canada,2015,4188955.0,10461431644.0,8172993472.0,8771305.0,626000.0,29765396.0,83.37,15612271.0,47801485347.1308,37344910427.0,58491028.0,163.83
Canada,2016,4125748.0,11560123923.0,8691822498.0,8701434.0,569000.0,30751965.0,85.16,15155000.0,48737502036.0903,36644738373.0,59293461.0,164.2
Canada,2017,3941143.0,12061117713.0,9277782856.0,8655572.0,602000.0,31692514.0,86.73,14469000.0,50321007325.5037,38708467173.0,60085319.0,164.44
Canada,2018,3799594.0,12362605948.0,9509696883.0,8877263.0,579000.0,33211401.0,89.62,13842000.0,53100787110.7146,40846759316.0,61373621.0,165.61
Chili,2002,,,,,,,,,,,188454.0,1.2
Chili,2003,,,,,,,,,,,352234.0,2.22
Chili,2004,7644732.0,351734920000.0,577059242.0,,,9261385.0,57.8,3345102.0,,,13056736.0,81.49
Chili,2005,8638113.0,411787630000.0,735637190.0,,,10569572.0,65.31,3460645.0,,,14713563.0,90.92
Chili,2006,9806577.0,636045025309.0,1199451281.0,1026667.0,,12450801.0,76.16,3383597.0,,,16842720.0,103.03
Chili,2007,10432036.0,727951315357.0,1393314924.0,1241346.0,,13955202.0,84.49,3459611.0,,,18712898.0,113.29
Chili,2008,10762915.0,916420460000.0,1754049037.0,1461490.0,,14796593.0,88.61,3524790.0,,,19743974.0,118.24
Chili,2009,11933023.0,778152184018.0,1387426780.0,1664032.0,,16450223.0,97.45,3555311.0,,,21660210.0,128.31
Chili,2010,14065837.0,980016302828.0,1920659094.0,1928694.0,,19852242.0,116.34,3459367.0,,,25100503.0,147.1
Chili,2011,15885567.0,1167996859937.0,2414863150.0,2067368.0,,22315248.0,129.33,3370104.0,,,27696596.0,160.52
Chili,2012,17283257.0,1198436770000.0,2463536847.0,2159979.0,,23940973.0,137.25,3292502.0,,,29399805.0,168.54
Chili,2013,16629989.0,1029737787985.0,2079144281.0,2555620.0,,23661339.0,134.35,3347231.0,,,29303739.0,166.39
Chili,2014,16305141.0,1060212816987.0,1858881068.0,2809981.0,,23680718.0,133.13,3427749.0,,,29598184.0,166.4
